날짜,시도지역코드,발생건수(건)
20140126,42,1719
20140126,43,3799
20140126,44,4107
20140126,45,3619
20140126,46,4748
20140126,47,3630
20140126,48,4983
20140126,49,2661
20140126,99,89631
20140127,11,157772
20140127,26,52202
20140127,27,34413
20140127,28,46258
20140127,29,21582
20140127,30,22541
20140127,31,18945
20140127,41,196820
20140127,42,19967
20140127,43,22050
20140127,44,33367
20140127,45,29622
20140127,46,28946
20140127,47,38080
20140127,48,46357
20140127,49,10156
20140127,99,779400
20140128,11,123011
20140128,26,41180
20140128,27,27756
20140128,28,35944
20140128,29,17508
20140128,30,18295
20140128,31,15064
20140128,41,154474
20140128,42,16038
20140128,43,18246
20140128,44,26724
20140128,45,23087
20140128,46,23660
20140128,47,30884
20140128,48,37322
20140128,49,8328
20140128,99,617776
20140129,11,175329
20140129,26,56224
20140129,27,37320
20140129,28,50244
20140129,29,22239
20140129,30,24737
20140129,31,20656
20140129,41,213197
20140129,42,20217
20140129,43,22290
20140129,44,33706
20140129,45,29201
20140129,46,28572
20140129,47,39616
20140129,48,47925
20140129,49,9926
20140129,99,831722
20140130,11,25001
20140130,26,11550
20140130,27,11191
20140130,28,9843
20140130,29,6283
20140130,30,8109
20140130,31,4414
20140130,41,41905
20140130,42,4642
20140130,43,6891
20140130,44,9048
20140130,45,8564
20140130,46,9229
20140130,47,10278
20140130,48,11476
20140130,49,4106
20140130,99,182620
20140131,11,9286
20140131,26,2732
20140131,27,1743
20140131,28,2989
20140131,29,2086
20140131,30,3191
20140131,31,1207
20140131,41,13570
20140131,42,1257
20140131,43,2779
20140131,44,2547
20140131,45,2463
20140131,46,2917
20140131,47,2300
20140131,48,3679
20140131,49,1584
20140131,99,56356
20140201,11,25332
20140201,26,7620
20140201,27,6510
20140201,28,9815
20140201,29,5548
20140201,30,7304
20140201,31,3519
20140201,41,42474
20140201,42,3614
20140201,43,6402
20140201,44,7854
20140201,45,6701
20140201,46,7375
20140201,47,6483
20140201,48,9131
20140201,49,3247
20140201,99,159001
20140202,11,20208
20140202,26,8240
20140202,27,5566
20140202,28,9894
20140202,29,4325
20140202,30,6605
20140202,31,3935
20140202,41,40906
20140202,42,2990
20140202,43,5885
20140202,44,6346
20140202,45,5107
20140202,46,6438
20140202,47,6048
20140202,48,7835
20140202,49,2965
20140202,99,143359
20140203,11,205089
20140203,26,60978
20140203,27,43947
20140203,28,58952
20140203,29,24886
20140203,30,30163
20140203,31,22375
20140203,41,248069
20140203,42,25836
20140203,43,28457
20140203,44,42612
20140203,45,34298
20140203,46,33157
20140203,47,48587
20140203,48,56956
20140203,49,10750
20140203,99,975512
20140204,11,110614
20140204,26,35972
20140204,27,26568
20140204,28,33435
20140204,29,14925
20140204,30,18739
20140204,31,13105
20140204,41,138784
20140204,42,15808
20140204,43,18093
20140204,44,25431
20140204,45,20997
20140204,46,20626
20140204,47,29094
20140204,48,32848
20140204,49,6926
20140204,99,562154
20140205,11,120122
20140205,26,38345
20140205,27,27860
20140205,28,35226
20140205,29,15373
20140205,30,19792
20140205,31,13905
20140205,41,147832
20140205,42,15515
20140205,43,18687
20140205,44,25927
20140205,45,21645
20140205,46,21197
20140205,47,30008
20140205,48,34682
20140205,49,6926
20140205,99,593241
20140206,11,123332
20140206,26,38752
20140206,27,29515
20140206,28,37494
20140206,29,16200
20140206,30,20865
20140206,31,13712
20140206,41,156558
20140206,42,16869
20140206,43,19786
20140206,44,28119
20140206,45,23095
20140206,46,20447
20140206,47,31876
20140206,48,35656
20140206,49,6792
20140206,99,619306
20140207,11,126587
20140207,26,37908
20140207,27,29830
20140207,28,37462
20140207,29,16021
20140207,30,21259
20140207,31,13504
20140207,41,158041
20140207,42,15690
20140207,43,20050
20140207,44,28432
20140207,45,23788
20140207,46,22180
20140207,47,31515
20140207,48,35565
20140207,49,7173
20140207,99,625263
20140208,11,114527
20140208,26,36562
20140208,27,29237
20140208,28,35114
20140208,29,15403
20140208,30,21232
20140208,31,12936
20140208,41,147803
20140208,42,12706
20140208,43,18211
20140208,44,25132
20140208,45,19999
20140208,46,18740
20140208,47,26780
20140208,48,32855
20140208,49,5727
20140208,99,573175
20140209,11,12486
20140209,26,5130
20140209,27,4257
20140209,28,6266
20140209,29,3487
20140209,30,5811
20140209,31,3124
20140209,41,30540
20140209,42,2036
20140209,43,5172
20140209,44,5738
20140209,45,4238
20140209,46,5421
20140209,47,4625
20140209,48,5771
20140209,49,2406
20140209,99,106554
20140210,11,169835
20140210,26,49869
20140210,27,43199
20140210,28,53642
20140210,29,22713
20140210,30,29562
20140210,31,14079
20140210,41,221963
20140210,42,20079
20140210,43,27346
20140210,44,39926
20140210,45,32722
20140210,46,30026
20140210,47,40391
20140210,48,51661
20140210,49,8721
20140210,99,856046
20140211,11,112013
20140211,26,36047
20140211,27,29311
20140211,28,35766
20140211,29,16059
20140211,30,20843
20140211,31,12429
20140211,41,152793
20140211,42,15241
20140211,43,20155
20140211,44,28078
20140211,45,22939
20140211,46,21386
20140211,47,30199
20140211,48,36505
20140211,49,6582
20140211,99,596561
20140212,11,111732
20140212,26,37095
20140212,27,29417
20140212,28,36179
20140212,29,15693
20140212,30,20808
20140212,31,12826
20140212,41,149342
20140212,42,15551
20140212,43,19528
20140212,44,26914
20140212,45,22420
20140212,46,21037
20140212,47,29723
20140212,48,36335
20140212,49,6193
20140212,99,590994
20140213,11,110051
20140213,26,36988
20140213,27,30154
20140213,28,35718
20140213,29,16143
20140213,30,21051
20140213,31,11810
20140213,41,152116
20140213,42,13731
20140213,43,19873
20140213,44,28564
20140213,45,22948
20140213,46,21577
20140213,47,29500
20140213,48,36985
20140213,49,6429
20140213,99,593872
20140214,11,116479
20140214,26,38576
20140214,27,30929
20140214,28,37301
20140214,29,16632
20140214,30,21540
20140214,31,12432
20140214,41,156922
20140214,42,15130
20140214,43,20313
20140214,44,29206
20140214,45,24065
20140214,46,21997
20140214,47,30510
20140214,48,37866
20140214,49,6898
20140214,99,617043
20140215,11,105211
20140215,26,36361
20140215,27,29515
20140215,28,35136
20140215,29,16116
20140215,30,21061
20140215,31,11941
20140215,41,148018
20140215,42,12990
20140215,43,19374
20140215,44,25586
20140215,45,20396
20140215,46,19539
20140215,47,27312
20140215,48,35382
20140215,49,5620
20140215,99,569786
20140216,11,13425
20140216,26,6694
20140216,27,4570
20140216,28,7777
20140216,29,3768
20140216,30,5671
20140216,31,2982
20140216,41,33000
20140216,42,2286
20140216,43,5259
20140216,44,6013
20140216,45,4511
20140216,46,6140
20140216,47,5065
20140216,48,7225
20140216,49,2282
20140216,99,116714
20140217,11,165068
20140217,26,54690
20140217,27,45157
20140217,28,53986
20140217,29,23866
20140217,30,30784
20140217,31,17155
20140217,41,229866
20140217,42,22364
20140217,43,29989
20140217,44,43867
20140217,45,35256
20140217,46,32122
20140217,47,46251
20140217,48,58315
20140217,49,8497
20140217,99,897595
20140218,11,106106
20140218,26,38703
20140218,27,30517
20140218,28,35154
20140218,29,16905
20140218,30,20620
20140218,31,11746
20140218,41,150449
20140218,42,14280
20140218,43,20874
20140218,44,29539
20140218,45,23227
20140218,46,23864
20140218,47,31354
20140218,48,39433
20140218,49,6987
20140218,99,600006
20140219,11,107229
20140219,26,39986
20140219,27,30083
20140219,28,34568
20140219,29,16191
20140219,30,20517
20140219,31,12451
20140219,41,148234
20140219,42,14538
20140219,43,19817
20140219,44,28062
20140219,45,22323
20140219,46,22894
20140219,47,30443
20140219,48,39679
20140219,49,6470
20140219,99,593729
20140220,11,105131
20140220,26,39172
20140220,27,29321
20140220,28,33819
20140220,29,16460
20140220,30,20512
20140220,31,12478
20140220,41,146365
20140220,42,14630
20140220,43,20039
20140220,44,28334
20140220,45,22927
20140220,46,22936
20140220,47,31459
20140220,48,39317
20140220,49,6153
20140220,99,589263
20140221,11,107978
20140221,26,40167
20140221,27,29570
20140221,28,33983
20140221,29,16599
20140221,30,20371
20140221,31,12606
20140221,41,147128
20140221,42,14958
20140221,43,20073
20140221,44,28882
20140221,45,23422
20140221,46,23016
20140221,47,31449
20140221,48,40550
20140221,49,6408
20140221,99,597395
20140222,11,92562
20140222,26,34799
20140222,27,26080
20140222,28,29470
20140222,29,15069
20140222,30,18581
20140222,31,11613
20140222,41,129291
20140222,42,11590
20140222,43,17076
20140222,44,23462
20140222,45,18603
20140222,46,18970
20140222,47,25546
20140222,48,34336
20140222,49,5128
20140222,99,512379
20140223,11,9937
20140223,26,5293
20140223,27,3874
20140223,28,4954
20140223,29,3387
20140223,30,4700
20140223,31,2659
20140223,41,24606
20140223,42,1729
20140223,43,4482
20140223,44,5136
20140223,45,3734
20140223,46,5761
20140223,47,4242
20140223,48,6210
20140223,49,2069
20140223,99,92805
20140224,11,140734
20140224,26,53782
20140224,27,38504
20140224,28,43407
20140224,29,22255
20140224,30,26337
20140224,31,18217
20140224,41,190397
20140224,42,19875
20140224,43,26188
20140224,44,37724
20140224,45,31305
20140224,46,31085
20140224,47,42430
20140224,48,54955
20140224,49,8196
20140224,99,785686
20140225,11,90496
20140225,26,36337
20140225,27,25214
20140225,28,27893
20140225,29,14833
20140225,30,17571
20140225,31,12112
20140225,41,122037
20140225,42,13170
20140225,43,17593
20140225,44,24972
20140225,45,20255
20140225,46,21502
20140225,47,27749
20140225,48,36185
20140225,49,5843
20140225,99,513941
20140226,11,89305
20140226,26,32928
20140226,27,23115
20140226,28,27449
20140226,29,13639
20140226,30,17304
20140226,31,11228
20140226,41,118653
20140226,42,12712
20140226,43,17132
20140226,44,24103
20140226,45,20121
20140226,46,20299
20140226,47,26306
20140226,48,32578
20140226,49,5354
20140226,99,492415
20140227,11,89186
20140227,26,35987
20140227,27,24284
20140227,28,27286
20140227,29,14263
20140227,30,16933
20140227,31,12377
20140227,41,120751
20140227,42,12857
20140227,43,16948
20140227,44,24312
20140227,45,19795
20140227,46,21125
20140227,47,27569
20140227,48,35157
20140227,49,6113
20140227,99,505139
20140228,11,98846
20140228,26,37136
20140228,27,24960
20140228,28,28558
20140228,29,14788
20140228,30,17539
20140228,31,11990
20140228,41,127464
20140228,42,13860
20140228,43,17005
20140228,44,24981
20140228,45,21047
20140228,46,20899
20140228,47,27438
20140228,48,35879
