이직여부,majorcat,school,area,sex,age,graduy,a001,industry,job,a010,a011,a012,a014,a016,a018,a020,a021,a116,a117,a118,a119,a122,a125,a126,a127,a128,a129,a130,a131,a132,a133,a134,a135,a136,a137,a138,a139,a140,a141,a142,a143,a144,a145,a146,a151,a153,a158,a159,a160,a161,a162,a166,a168,a281,a282,a388,e001,f001,f004,f006,f008,f009,f010,f011,f013,f170,f023,f071,f072,f074,f079,f080,f081,f082,f083,f084,f085,f086,f101,f124,f138,g001,h001,i018,i050,j021,l001,n083,k001,k042,k043,k044,k045,k046,k047,k048,k049,k050,k051,k052,k053,k055,k056,k057,q015,q016,q017,p001,p014,p016,p017,p018,p020,p024,p028z,p031z,p035,p036,p046,p039,p041,p043,p045,r023,r024,r025,r026,r027,wt
2,2,1,1,2,24.41666667,2018,2019,19,1,5,5,1,1,3,0,4,2,5,40,4,2,180,180,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,3,4,6,4,2,1,1,2,1,1,1,2,2,1,3,1,2,2014,1,1,1,1,1,2016,1,5,1,3,3,3.2,20,20,0,60,0,0,0,1,2,2,1,2,1,1,2,2200,2,2,1,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,5,5,5,1,1,3,3,1,1,1,2,2,6,3,1,0,2,1,1,50,0,0,0,1,77.3267395
2,2,1,1,2,23.16666667,2018,2018,13,1,5,4,1,1,6,1,3,1,5,40,0,0,210,200,4,3,3,5,5,2,3,5,3,3,5,5,4,3,3,3,3,3,4,6,2,1,1,1,2,1,1,1,1,2,4,1,1,2,2015,1,5,1,6,1,2015,1,5,1,4,4,3.8,40,0,0,60,0,0,0,2,1,2,2,2,1,2,2,2400,2,2,2,5,5,5,4,4,4,4,4,3,4,4,3,5,3,3,4,6,6,1,1,3,3,1,5,5,3,2,9,1,1,2520,1,2,1,80,0,0,0,1,77.3267395
1,2,1,1,2,23.83333333,2018,2018,9,6,9,2,1,8,1,0,1,1,6,48,1,1,220,200,4,4,3,3,3,2,3,4,3,3,4,3,2,3,3,3,2,2,1,6,1,2,2,1,2,1,1,1,1,2,1,3,1,2,2014,1,8,1,1,1,2015,1,5,1,4,4,3.9,50,0,0,50,0,0,0,2,1,2,2,1,1,2,2,2000,2,2,2,5,4,5,4,4,5,5,5,5,4,5,3,4,4,4,6,6,4,1,1,3,5,1,13,8,5,5,7,1,1,1980,2,2,1,80,0,30,0,1,74.21621232
1,2,1,1,2,28.25,2018,2018,13,1,5,3,1,1,3,0,1,1,5,40,0,0,175,175,1,4,2,5,3,3,5,4,2,4,4,4,2,2,3,3,3,3,3,3,2,1,2,1,2,1,1,1,3,2,1,3,1,2,2010,1,1,1,6,1,2015,2,1,1,3,3,4.2,0,0,0,90,0,10,0,2,1,2,2,2,2,2,2,2500,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,1,1,1,1,3,3,4,2,3,875,2,2,1,100,100,10,0,1,72.36815443
2,2,1,1,2,22,2018,2019,7,1,-1,-1,1,1,6,1,1,1,5,40,12,0,220,220,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,6,2,3,2,1,2,1,1,1,3,2,3,1,2,1,2016,1,8,1,1,1,2016,2,2,1,3,3,2.7,50,0,0,50,0,0,0,2,2,2,2,2,2,2,2,2700,2,2,2,4,4,4,4,4,4,4,5,5,4,4,5,5,5,5,7,7,7,1,1,3,4,1,6,8,5,4,4,3,1,1650,2,2,1,40,0,0,0,1,82.55544845
1,2,1,8,1,26.33333333,2018,2017,3,1,-1,5,1,8,1,0,1,1,5,40,5,0,220,220,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,6,3,2,2,1,2,1,1,1,2,2,2,6,1,2,2012,1,5,1,7,1,2012,2,1,1,3,3,3.9,0,100,0,0,0,0,0,1,1,2,2,2,1,2,2,2400,2,2,2,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,1,2,1,1,1,8,8,3,3,5,1,3,2650,2,2,2,200,200,0,100,1,77.60411365
2,2,1,8,2,25.75,2017,2019,9,6,3,3,1,1,3,0,1,1,6,54,1,7,190,160,3,4,3,4,3,2,4,3,3,2,4,2,2,3,3,3,2,2,1,6,1,3,2,1,3,1,1,1,3,2,5,13,2,2,2012,1,1,1,1,1,2013,1,5,1,3,3,3.5,100,0,0,0,0,0,0,2,2,2,2,1,2,2,2,2500,2,2,1,4,4,3,3,4,4,4,3,5,4,4,3,4,4,4,4,4,3,1,1,3,4,1,1,1,5,5,6,6,1,560,2,2,1,40,0,0,0,1,87.69486399
1,2,1,8,1,24.75,2018,2017,13,2,2,2,1,1,6,0,1,1,5,40,5,0,190,150,2,2,4,3,1,4,4,3,3,4,3,3,2,2,2,2,4,4,3,6,2,2,1,1,2,1,1,1,2,2,3,4,1,2,2013,1,1,1,2,1,2013,1,1,1,2,2,3.3,100,0,0,0,0,0,0,2,1,2,2,2,1,2,2,3000,2,2,1,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,6,6,5,1,1,3,4,1,1,1,5,3,6,2,1,2280,2,2,2,30,0,0,0,1,77.25799753
2,2,1,8,2,23.33333333,2018,2019,9,6,-1,6,1,1,3,1,1,2,5,40,0,0,160,140,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,2,3,3,1,1,1,3,1,3,8,1,2,2015,1,8,1,1,1,2015,1,6,1,3,3,3.7,100,0,0,0,0,0,0,2,1,2,2,2,1,1,2,2000,2,2,2,5,3,5,2,2,4,4,5,5,5,5,5,3,5,2,4,4,4,1,1,4,5,1,8,8,6,5,5,3,1,0,1,2,1,40,0,0,0,3,119.3534588
2,2,1,8,1,27.75,2018,2014,15,3,9,6,1,8,1,0,5,1,5,40,0,0,280,180,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,6,4,3,2,2,1,1,2,1,2,2,9,7,1,2,2014,1,5,1,1,1,2016,2,6,1,4,4,3,0,0,100,0,0,0,0,2,2,2,2,2,2,2,2,2400,2,2,2,4,5,5,4,4,5,4,5,5,4,4,4,4,4,4,6,6,6,1,2,1,1,1,5,8,3,3,2,2,4,3360,2,1,8,70,0,0,0,1,70.10024011
